Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Sprint
Epic,Vercel Frontend Deployment,,Vercel Frontend Deployment,"Frontend deployment through Vercel with GitHub Actions CI/CD and backend API configuration.",High,"frontend,vercel,github",Deployment,,
Task,,Vercel Frontend Deployment,Configure Vercel project,"Create Vercel project for the React frontend and connect the GitHub repository.",High,"vercel,frontend",Deployment,3,
Task,,Vercel Frontend Deployment,Add Vercel GitHub secrets,"Add VERCEL_TOKEN, VERCEL_ORG_ID, and VERCEL_PROJECT_ID secrets in GitHub Actions.",High,"vercel,github,security",Deployment,2,
Task,,Vercel Frontend Deployment,Verify frontend API origin,"Confirm REACT_APP_API_ORIGIN points to the live backend URL for production builds.",High,"frontend,vercel",Deployment,2,
Epic,Render Backend Deployment,,Render Backend Deployment,"Backend deployment remains on Render with environment variables, health checks, and CORS settings.",High,"backend,render",Deployment,,
Task,,Render Backend Deployment,Verify Render backend environment,"Check SECRET_KEY, DATABASE_URL, MongoDB, CORS, cookie, SMTP, and automation variables.",High,"backend,render,security",Deployment,3,
Task,,Render Backend Deployment,Confirm backend health endpoint,"Verify Render backend /health endpoint returns healthy after deploy.",High,"backend,render,monitoring",Monitoring,2,
Epic,Docker Image Publishing,,Docker Image Publishing,"Build and publish frontend and backend Docker images through GitHub Actions and GHCR.",High,"docker,github,frontend,backend",Docker,,
Task,,Docker Image Publishing,Verify frontend Docker build,"Build frontend Docker image and confirm nginx serves the React build.",High,"docker,frontend",Docker,3,
Task,,Docker Image Publishing,Verify backend Docker build,"Build backend Docker image and confirm Flask/Gunicorn starts correctly.",High,"docker,backend",Docker,3,
Task,,Docker Image Publishing,Publish Docker images to GHCR,"Use CI workflow to publish latest and commit SHA tags for frontend and backend.",High,"docker,github",Docker,3,
Epic,Kubernetes Manifests,,Kubernetes Manifests,"Kubernetes deployments, services, replicas, persistent volumes, MongoDB, Redis, and monitoring manifests.",High,"kubernetes,docker",Kubernetes,,
Task,,Kubernetes Manifests,Enable Docker Desktop Kubernetes,"Start Docker Desktop Kubernetes and verify kubectl can reach docker-desktop context.",High,"kubernetes",Kubernetes,2,
Task,,Kubernetes Manifests,Apply Kubernetes manifests,"Apply k8s manifests for frontend, backend, MongoDB, Redis, and Prometheus.",High,"kubernetes,docker",Kubernetes,5,
Task,,Kubernetes Manifests,Verify replicas are running,"Confirm frontend and backend deployments each run 2 ready replicas.",High,"kubernetes,monitoring",Kubernetes,3,
Task,,Kubernetes Manifests,Verify service access,"Confirm frontend service, backend service, MongoDB service, and Redis service are reachable.",High,"kubernetes",Kubernetes,3,
Epic,GitHub Actions CI/CD,,GitHub Actions CI/CD,"Automated build, test, Docker publish, GitHub Pages, and Vercel deployment workflows.",High,"github,ci,cd",CI/CD,,
Task,,GitHub Actions CI/CD,Validate CI build workflow,"Confirm backend import check and frontend build pass on pull requests.",High,"github,frontend,backend",CI/CD,3,
Task,,GitHub Actions CI/CD,Validate Vercel deployment workflow,"Confirm production Vercel deployment runs on push to main or master.",High,"github,vercel",CI/CD,3,
Task,,GitHub Actions CI/CD,Validate Docker publish workflow,"Confirm Docker images publish to GHCR on main or master push.",High,"github,docker",CI/CD,3,
Epic,MongoDB Volume And Backup,,MongoDB Volume And Backup,"Database persistence, Docker volumes, backup workflow, and restore instructions.",High,"mongodb,docker,backup",Database,,
Task,,MongoDB Volume And Backup,Verify MongoDB Docker volume,"Confirm MongoDB data survives docker compose down/up when volume is preserved.",Highest,"mongodb,docker",Database,3,
Task,,MongoDB Volume And Backup,Create backup command guide,"Document mongodump and mongorestore commands for laptop and server use.",High,"mongodb,documentation",Documentation,2,
Task,,MongoDB Volume And Backup,Schedule backup review,"Create regular backup review task for production database safety.",Medium,"mongodb,backup",Database,2,
Epic,Production Bugs And Monitoring,,Production Bugs And Monitoring,"Production issue tracking, uptime checks, failed deployments, logs, and security events.",High,"monitoring,bug,security",Monitoring,,
Bug,,Production Bugs And Monitoring,Track profile image refresh bug,"If profile images disappear after refresh, capture logs and link to product bug.",High,"bug,frontend,mongodb",Support,3,
Bug,,Production Bugs And Monitoring,Track OTP send failure,"If SMS or email OTP does not send, verify provider config, logs, and fallback code.",High,"bug,backend,security",Support,3,
Task,,Production Bugs And Monitoring,Create uptime check routine,"Check frontend, backend /health, MongoDB, Redis, and monitoring status daily.",Medium,"monitoring,vercel,render",Monitoring,2,
Task,,Production Bugs And Monitoring,Create deployment rollback checklist,"Document how to rollback Vercel frontend and Render backend deployments.",Medium,"documentation,vercel,render",Documentation,2,
