Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Sprint
Epic,Authentication & User Roles,,Authentication & User Roles,"Manage login, registration, session, logout, role permissions, and secure account access.",Highest,"backend,frontend,security",Authentication,,Sprint 1
Story,,Authentication & User Roles,Improve login and logout flow,"Verify all user roles can log in, stay in session, and log out correctly without breaking dashboard access.",Highest,"frontend,backend,security",Authentication,5,Sprint 1
Story,,Authentication & User Roles,Verify role based dashboard access,"Confirm main admin, industry admin, operator, service provider, and user roles only see allowed pages and actions.",Highest,"backend,frontend,security",Authentication,5,Sprint 1
Task,,Authentication & User Roles,Document account setup and branch access,"Add onboarding notes for creating users, assigning branch access, and explaining user roles.",Medium,"documentation",Documentation,2,Sprint 4
Epic,Queue Token Management,,Queue Token Management,"Token generation, queue call next flow, cancellation, emergency handling, and queue history.",High,"backend,frontend",Queue,,Sprint 1
Story,,Queue Token Management,Stabilize call next workflow,"Verify current token, next token, counter status, and recently served token update correctly.",High,"backend,frontend",Queue,8,Sprint 1
Story,,Queue Token Management,Improve queue history review,"Ensure admins can review completed, skipped, emergency, cancelled, and active token events.",Medium,"frontend,backend",Queue,5,Sprint 2
Bug,,Queue Token Management,Fix token display refresh issues,"Check queue data after page refresh and correct any missing current or next token display state.",High,"bug,frontend,backend",Queue,5,Sprint 1
Epic,MongoDB Data Storage,,MongoDB Data Storage,"Store main persistent app data in MongoDB and keep temporary/cache data separate.",Highest,"mongodb,backend,docker",Database,,Sprint 2
Story,,MongoDB Data Storage,Move persistent data to MongoDB,"Ensure important user, branch, queue, settings, profile asset, and terms data is stored in MongoDB where required.",Highest,"mongodb,backend",Database,8,Sprint 2
Story,,MongoDB Data Storage,Use Docker volumes for database persistence,"Verify MongoDB data survives container restart through Docker volume configuration.",Highest,"mongodb,docker",Database,5,Sprint 2
Task,,MongoDB Data Storage,Document how to view MongoDB data,"Add steps for Mongo Express or MongoDB Compass so team members can inspect stored data.",Medium,"mongodb,documentation",Documentation,3,Sprint 4
Epic,Profile Images & User Settings,,Profile Images & User Settings,"Profile image upload, avatar display, account settings, and user profile persistence.",High,"frontend,backend,mongodb",Profile,,Sprint 2
Story,,Profile Images & User Settings,Fix profile image persistence,"Uploaded profile images should display after refresh and be stored through the backend data layer.",High,"frontend,backend,mongodb",Profile,5,Sprint 2
Story,,Profile Images & User Settings,Improve account image picker UI,"Use centered avatar with camera icon upload action and remove plain file input display.",Medium,"frontend",Profile,3,Sprint 2
Story,,Profile Images & User Settings,Save profile settings changes,"User name, phone, email, avatar, and preferences should persist after reload.",High,"frontend,backend",Profile,5,Sprint 2
Epic,SMS / Email OTP Verification,,SMS / Email OTP Verification,"Phone and email verification through OTP, consent, and verification status indicators.",High,"frontend,backend,security",Verification,,Sprint 3
Story,,SMS / Email OTP Verification,Phone number OTP verification,"After registration, ask for phone confirmation and verify a 4 digit OTP before dashboard access.",High,"backend,frontend,security",Verification,8,Sprint 3
Story,,SMS / Email OTP Verification,Email OTP verification,"Allow account settings email verification with 6 digit OTP and verification status indicator.",High,"backend,frontend,security",Verification,5,Sprint 3
Task,,SMS / Email OTP Verification,Document SMS and email provider configuration,"Explain Firebase SMS limitations, SMTP settings, and development fallback behavior.",Medium,"documentation,security",Documentation,3,Sprint 4
Epic,TV Cast / External Display Mode,,TV Cast / External Display Mode,"External queue display through HDMI, display URL, QR code, Bluetooth, and WiFi data sync.",High,"frontend,backend",TV Cast,,Sprint 4
Story,,TV Cast / External Display Mode,Create TV display route,"Display current token, next token, counter, provider, department, date, and time without private customer data.",High,"frontend,backend",TV Cast,8,Sprint 4
Story,,TV Cast / External Display Mode,Add TV cast settings in operator profile,"Add HDMI, website URL, and Bluetooth/WiFi cards with status, sync, connect, disconnect, and settings actions.",High,"frontend",TV Cast,8,Sprint 4
Story,,TV Cast / External Display Mode,Add live synchronization fallback,"Use existing live update channel where available and polling fallback every 3 seconds.",High,"frontend,backend",TV Cast,5,Sprint 4
Epic,Theme & UI Customization,,Theme & UI Customization,"Color theme, font options, dark mode settings, welcome page styling, and role controlled theme settings.",Medium,"frontend",Theme,,Sprint 3
Story,,Theme & UI Customization,Save theme colors and fonts,"Allow authorized admins to save theme colors and font choices and persist them until reset.",Medium,"frontend,backend",Theme,5,Sprint 3
Story,,Theme & UI Customization,Add default theme reset,"Add a reset action that restores default app colors and font settings.",Medium,"frontend",Theme,3,Sprint 3
Task,,Theme & UI Customization,Polish welcome landing page,"Improve welcome page alignment, animations, top arrow, and Get Started actions.",Medium,"frontend",Welcome,3,Sprint 3
Epic,Compliance: GDPR / HIPAA / CCPA,,Compliance: GDPR / HIPAA / CCPA,"Privacy, consent, audit logs, data export, deletion, and security readiness improvements.",High,"compliance,security",Compliance,,Sprint 3
Story,,Compliance: GDPR / HIPAA / CCPA,Add editable terms and conditions,"Main admin can edit terms covering collected data, OTP messaging, privacy, security, and app usage.",High,"frontend,backend,compliance",Compliance,5,Sprint 3
Story,,Compliance: GDPR / HIPAA / CCPA,Add user data export request flow,"Allow authorized user data export request handling for compliance readiness.",Medium,"frontend,backend,compliance",Compliance,5,Sprint 4
Story,,Compliance: GDPR / HIPAA / CCPA,Add account deletion request flow,"Allow users to request account deletion and admins to process right-to-delete requests.",Medium,"frontend,backend,compliance",Compliance,5,Sprint 4
Epic,Analytics & Monitoring,,Analytics & Monitoring,"Queue analytics, wait time analysis, activity logs, monitoring dashboards, and reports.",Medium,"frontend,backend",Analytics,,Sprint 4
Story,,Analytics & Monitoring,Add queue analytics dashboard,"Show queue volume, active counters, average wait time, branch performance, and customer satisfaction signals.",Medium,"frontend,backend",Analytics,8,Sprint 4
Story,,Analytics & Monitoring,Improve live activity logs,"Show login, logout, token, cancellation, emergency, device, and admin events clearly.",Medium,"frontend,backend",Analytics,5,Sprint 4
Task,,Analytics & Monitoring,Document monitoring endpoints,"Explain health checks, metrics, Prometheus, and deployment monitoring usage.",Medium,"documentation,monitoring",Documentation,3,Sprint 4
Epic,Documentation & Onboarding,,Documentation & Onboarding,"Setup guides, running instructions, Docker, Kubernetes, Vercel, Render, and new joiner documentation.",Medium,"documentation",Documentation,,Sprint 4
Task,,Documentation & Onboarding,Create laptop setup guide,"Document required apps, packages, extensions, commands, Git workflow, Docker setup, and project run steps.",Medium,"documentation",Documentation,5,Sprint 4
Task,,Documentation & Onboarding,Create Git branch collaboration guide,"Explain pulling main branch, working on tharshini branch, commits, pushing, and pull requests.",Medium,"documentation,github",Documentation,3,Sprint 4
Task,,Documentation & Onboarding,Create Atlassian Jira setup guide,"Document Jira Scrum and Kanban project setup, CSV import, GitHub connection, and daily workflow.",Medium,"documentation,jira",Documentation,3,Sprint 4
